Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Cura (product.metafields.custom.cura),Dettagli prodotto (product.metafields.custom.dettagli_prodotto),Size guide table (product.metafields.custom.size_guide_table),Spedizione (product.metafields.custom.spedizione),Taglia (product.metafields.custom.taglia),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Italia,Price / Italia,Compare At Price / Italia,Included / Internazionale,Price / Internazionale,Compare At Price / Internazionale,Included / Unione europea,Price / Unione europea,Compare At Price / Unione europea,Status,Collection
troop-crewneck-yellow-eur,Troop Crewneck Yellow,Crewneck long sleeve. Dropped shoulders. Bruise details. Stone wash and consumed effect,Untitled Artworks™,Uncategorized,,"b2b, B2B-EUR",True,Taglia,XXS,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,B2B EUR
troop-crewneck-yellow-eur,,,,,,,,,XS,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
troop-crewneck-yellow-eur,,,,,,,,,S,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
troop-crewneck-yellow-eur,,,,,,,,,M,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
troop-crewneck-yellow-eur,,,,,,,,,L,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
troop-crewneck-yellow-eur,,,,,,,,,XL,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
troop-crewneck-yellow-eur,,,,,,,,,XXL,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
division-crewneck-blue-eur,Division Crewneck Blue,Crewneck long sleeve. Dropped shoulders. Bruise details. Stone wash and consumed effect,Untitled Artworks™,Uncategorized,,"b2b, B2B-EUR",True,Taglia,XXS,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,B2B EUR
division-crewneck-blue-eur,,,,,,,,,XS,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
division-crewneck-blue-eur,,,,,,,,,S,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
division-crewneck-blue-eur,,,,,,,,,M,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
division-crewneck-blue-eur,,,,,,,,,L,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
division-crewneck-blue-eur,,,,,,,,,XL,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
division-crewneck-blue-eur,,,,,,,,,XXL,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
craftmen-crewneck-grey-melange-eur,Craftmen Crewneck Grey Melange,Crewneck long sleeve. Dropped shoulders. Bruise details. Stone wash and consumed effect,Untitled Artworks™,Uncategorized,,"b2b, B2B-EUR",True,Taglia,XXS,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,B2B EUR
craftmen-crewneck-grey-melange-eur,,,,,,,,,XS,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
craftmen-crewneck-grey-melange-eur,,,,,,,,,S,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
craftmen-crewneck-grey-melange-eur,,,,,,,,,M,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
craftmen-crewneck-grey-melange-eur,,,,,,,,,L,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
craftmen-crewneck-grey-melange-eur,,,,,,,,,XL,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
craftmen-crewneck-grey-melange-eur,,,,,,,,,XXL,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
archivum-hoodie-grey-melange-eur,Archivum Hoodie Grey Melange,"Long sleeve cotton jersey hoodie, 320 gsm. Kangaroo patch pocket at waist. Rib knit cuffs and hem. Raw edge at hem, and cuffs. Brim details at hoodie, cuffs and hem. Logo embroidery on patch with raw edges at left sleeve. Stone wash and consumed effect",Untitled Artworks™,Uncategorized,,"b2b, B2B-EUR",True,Taglia,XXS,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,B2B EUR
archivum-hoodie-grey-melange-eur,,,,,,,,,XS,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
archivum-hoodie-grey-melange-eur,,,,,,,,,S,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
archivum-hoodie-grey-melange-eur,,,,,,,,,M,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
archivum-hoodie-grey-melange-eur,,,,,,,,,L,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
archivum-hoodie-grey-melange-eur,,,,,,,,,XL,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
archivum-hoodie-grey-melange-eur,,,,,,,,,XXL,,,,,,,,,,,9999,deny,manual,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
baseball-cap-canvas-eur,Baseball Cap Canvas,"This low-top 6-panel cap features a washed, eroded finish and is crafted from natural recycled cotton. Complete with an adjustable velcro back strap, it delivers a comfortable, regular fit that adapts effortlessly to your style.&nbsp;",Untitled Artworks™,Uncategorized,,"b2b, B2B-EUR",True,Taglia,XXS,,,,,,,,,,,9999,deny,manual,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,B2B EUR
baseball-cap-canvas-eur,,,,,,,,,XS,,,,,,,,,,,9999,deny,manual,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
baseball-cap-canvas-eur,,,,,,,,,S,,,,,,,,,,,9999,deny,manual,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
baseball-cap-canvas-eur,,,,,,,,,M,,,,,,,,,,,9999,deny,manual,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
baseball-cap-canvas-eur,,,,,,,,,L,,,,,,,,,,,9999,deny,manual,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
baseball-cap-canvas-eur,,,,,,,,,XL,,,,,,,,,,,9999,deny,manual,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
baseball-cap-canvas-eur,,,,,,,,,XXL,,,,,,,,,,,9999,deny,manual,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
baseball-cap-black-eur,Baseball Cap Black,"This low-top 6-panel cap features a washed, eroded finish and is crafted from natural recycled cotton. Complete with an adjustable velcro back strap, it delivers a comfortable, regular fit that adapts effortlessly to your style.&nbsp;",Untitled Artworks™,Uncategorized,,"b2b, B2B-EUR",True,Taglia,XXS,,,,,,,,,,,9999,deny,manual,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,B2B EUR
baseball-cap-black-eur,,,,,,,,,XS,,,,,,,,,,,9999,deny,manual,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active,
